Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Dharmapuri,8,RAJENDRAN.D.K.,Amma Makkal Munnettra Kazagam,11166,60,11226,5.17
Dharmapuri,9,VENKATESHWARAN.S.P.,Pattali Makkal Katchi,104415,1215,105630,48.6
Dharmapuri,10,JAYAVENKATESAN.S.K.,Makkal Needhi Maiam,5034,49,5083,2.34
Dharmapuri,11,SHANMUGAM.P.,Independent,236,1,237,0.11
Dharmapuri,12,SUNDARAMOORTHY.M.,Independent,126,1,127,0.06
Dharmapuri,13,SUBRAMANI.P.,Independent,110,0,110,0.05
Dharmapuri,14,SUBRAMANI.K.,Independent,364,0,364,0.17
Dharmapuri,15,SUBRAMANI.T.,Independent,304,0,304,0.14
Dharmapuri,16,TAMILARASAN.S.,Independent,654,0,654,0.3
Dharmapuri,17,NATARAJAN.V.,Independent,716,2,718,0.33
Dharmapuri,18,PALANI.S.K.,Independent,160,0,160,0.07
Dharmapuri,19,MANIGANDAN.E.V.,Independent,355,2,357,0.16
